127.0.0.1 - - [04/Jun/2018:14:37:10 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [04/Jun/2018:14:37:11 +0530] "GET /project2frontend/index.html HTTP/1.1" 200 2359
0:0:0:0:0:0:0:1 - - [04/Jun/2018:14:37:11 +0530] "GET /project2frontend/resources/css/login.css HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [04/Jun/2018:14:37:11 +0530] "GET /project2frontend/resources/css/fileinput.css HTTP/1.1" 404 1082
0:0:0:0:0:0:0:1 - - [04/Jun/2018:14:37:11 +0530] "GET /project2frontend/resources/css/fileinput.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [04/Jun/2018:14:37:11 +0530] "GET /project2frontend/js/fileinput.min.js HTTP/1.1" 404 1066
0:0:0:0:0:0:0:1 - - [04/Jun/2018:14:37:11 +0530] "GET /project2frontend/js/app.js HTTP/1.1" 200 930
0:0:0:0:0:0:0:1 - - [04/Jun/2018:14:37:11 +0530] "GET /project2frontend/controllers/usercontroller.js HTTP/1.1" 200 1120
0:0:0:0:0:0:0:1 - - [04/Jun/2018:14:37:11 +0530] "GET /project2frontend/services/userservice.js HTTP/1.1" 200 543
0:0:0:0:0:0:0:1 - - [04/Jun/2018:14:37:11 +0530] "GET /project2frontend/resourecs/images/%3C/a%3E%3C/div%3E%3Cdiv%20class= HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [04/Jun/2018:14:37:49 +0530] "GET /project2frontend/index.html HTTP/1.1" 200 2359
0:0:0:0:0:0:0:1 - - [04/Jun/2018:14:37:50 +0530] "GET /project2frontend/resources/css/login.css HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [04/Jun/2018:14:37:50 +0530] "GET /project2frontend/resources/css/fileinput.css HTTP/1.1" 404 1082
0:0:0:0:0:0:0:1 - - [04/Jun/2018:14:37:50 +0530] "GET /project2frontend/resources/css/fileinput.min.css HTTP/1.1" 404 1090
