127.0.0.1 - - [05/Jul/2018:19:25:23 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [05/Jul/2018:19:25:24 +0530] "GET /project2frontend/ HTTP/1.1" 200 5225
0:0:0:0:0:0:0:1 - - [05/Jul/2018:19:25:24 +0530] "GET /project2frontend/resources/css/color.css HTTP/1.1" 200 77
0:0:0:0:0:0:0:1 - - [05/Jul/2018:19:25:24 +0530] "GET /project2frontend/resources/images/niit.jpg HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [05/Jul/2018:19:25:24 +0530] "GET /project2frontend/js/app.js HTTP/1.1" 200 2557
0:0:0:0:0:0:0:1 - - [05/Jul/2018:19:25:24 +0530] "GET /project2frontend/services/userservice.js HTTP/1.1" 200 690
0:0:0:0:0:0:0:1 - - [05/Jul/2018:19:25:24 +0530] "GET /project2frontend/controllers/usercontroller.js HTTP/1.1" 200 1739
0:0:0:0:0:0:0:1 - - [05/Jul/2018:19:25:24 +0530] "GET /project2frontend/controllers/jobcontroller.js HTTP/1.1" 200 2351
0:0:0:0:0:0:0:1 - - [05/Jul/2018:19:25:24 +0530] "GET /project2frontend/services/jobservice.js HTTP/1.1" 200 628
0:0:0:0:0:0:0:1 - - [05/Jul/2018:19:25:24 +0530] "GET /project2frontend/controllers/blogpostcontroller.js HTTP/1.1" 200 1482
0:0:0:0:0:0:0:1 - - [05/Jul/2018:19:25:24 +0530] "GET /project2frontend/services/blogservice.js HTTP/1.1" 200 1777
0:0:0:0:0:0:0:1 - - [05/Jul/2018:19:25:24 +0530] "GET /project2frontend/controllers/blogindetailcontroller.js HTTP/1.1" 200 3036
0:0:0:0:0:0:0:1 - - [05/Jul/2018:19:25:24 +0530] "GET /project2frontend/services/friendservice.js HTTP/1.1" 200 1081
0:0:0:0:0:0:0:1 - - [05/Jul/2018:19:25:24 +0530] "GET /project2frontend/controllers/friendcontroller.js HTTP/1.1" 200 2027
0:0:0:0:0:0:0:1 - - [05/Jul/2018:19:25:24 +0530] "GET /project2frontend/js/stomp/dist/stomp.min.js HTTP/1.1" 200 6060
0:0:0:0:0:0:0:1 - - [05/Jul/2018:19:25:24 +0530] "GET /project2frontend/js/sockjs/sockjs.min.js HTTP/1.1" 200 33887
0:0:0:0:0:0:0:1 - - [05/Jul/2018:19:25:24 +0530] "GET /project2frontend/services/chatservice.js HTTP/1.1" 200 760
0:0:0:0:0:0:0:1 - - [05/Jul/2018:19:25:24 +0530] "GET /project2frontend/controllers/chatcontroller.js HTTP/1.1" 200 2487
0:0:0:0:0:0:0:1 - - [05/Jul/2018:19:25:25 +0530] "GET /project2middleware/getimage/%7B%7BloggedInUser.email%7D%7D HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [05/Jul/2018:19:25:25 +0530] "GET /project2frontend/views/home.html HTTP/1.1" 200 18
0:0:0:0:0:0:0:1 - - [05/Jul/2018:19:25:46 +0530] "GET /project2frontend/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2018:19:25:46 +0530] "GET /project2frontend/resources/css/color.css HTTP/1.1" 200 77
0:0:0:0:0:0:0:1 - - [05/Jul/2018:19:25:46 +0530] "GET /project2frontend/services/userservice.js HTTP/1.1" 200 690
0:0:0:0:0:0:0:1 - - [05/Jul/2018:19:25:46 +0530] "GET /project2frontend/services/jobservice.js HTTP/1.1" 200 628
0:0:0:0:0:0:0:1 - - [05/Jul/2018:19:25:46 +0530] "GET /project2frontend/services/chatservice.js HTTP/1.1" 200 760
0:0:0:0:0:0:0:1 - - [05/Jul/2018:19:25:46 +0530] "GET /project2frontend/controllers/chatcontroller.js HTTP/1.1" 200 2487
0:0:0:0:0:0:0:1 - - [05/Jul/2018:19:25:46 +0530] "GET /project2frontend/resources/images/niit.jpg HTTP/1.1" 404 1078
